EmployeeID,PerformanceID,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating
40A9-8EB0,PR1029,5,5,3,3,0,3,4,3
2E72-4BF1,PR103,3,2,5,3,1,5,4,4
EE39-C8F2,PR1030,5,4,5,2,1,4,5,5
C0C7-A3EF,PR1031,4,2,4,2,2,3,5,5
79F3-8AA5,PR1032,5,5,5,3,0,4,3,2
9528-AA17,PR1033,5,3,5,3,1,2,4,4
9C71-34AE,PR1034,3,2,3,3,2,4,4,3
C79A-E5E1,PR1035,3,3,2,1,0,2,3,2
5468-EEE1,PR1036,3,5,3,2,0,2,5,5
B50B-5A18,PR1037,3,3,5,2,1,2,4,4
11AE-3E4D,PR1038,4,4,2,3,1,2,4,3
151D-1FF2,PR1039,4,5,4,2,1,2,3,2
D584-4E31,PR104,3,4,4,3,1,5,3,2
0FC8-561B,PR1040,5,4,2,2,0,2,5,4
A531-8159,PR1041,5,3,2,1,1,4,3,3
E7A6-33A3,PR1042,4,5,3,3,0,5,5,4
E4F4-11B9,PR1043,5,2,2,2,2,4,3,2
586E-5C14,PR1044,3,3,4,1,1,3,3,2
8A40-C85A,PR1045,3,3,4,1,2,5,4,4
2B08-7D3D,PR1046,4,4,4,1,3,3,4,3
C96F-0F3B,PR1047,5,5,5,1,3,2,5,5
9DFE-1FD5,PR1048,3,2,5,1,2,5,5,4
C0A1-EB7D,PR1049,5,5,3,1,0,3,3,3
5731-90E6,PR105,3,5,2,3,0,3,4,3
FD3F-5255,PR1050,4,5,2,1,0,2,4,4
132B-F2B2,PR1051,3,4,4,3,1,4,3,3
9DB2-76B3,PR1052,5,2,4,3,0,4,3,2
4969-9A35,PR1053,3,5,3,3,1,4,5,5
0CED-EE28,PR1054,3,2,2,1,1,2,3,2
D077-169C,PR1055,5,5,5,3,2,3,3,2
63DA-AA21,PR1056,5,4,4,3,0,5,5,4
ACA9-5DC2,PR1057,5,4,3,2,2,4,5,4
12B5-11CC,PR1058,5,3,3,3,1,4,5,4
00A3-2445,PR1059,4,3,2,1,1,3,5,5
076F-8AA3,PR106,3,4,5,3,3,5,5,5
3F19-FC5A,PR1060,5,3,2,2,3,2,3,3
8233-2483,PR1061,5,2,4,3,0,4,5,5
1C87-44CB,PR1062,4,5,2,1,0,2,4,3
6345-2F33,PR1063,3,5,2,2,1,2,5,5
A2FB-2D5D,PR1064,4,5,4,3,0,3,4,3
E5C1-B122,PR1065,3,5,5,3,0,2,3,2
462E-03DF,PR1066,4,5,4,2,0,2,3,2
C2DD-9D37,PR1067,4,2,2,3,1,2,3,3
AEDB-BB62,PR1068,4,5,2,2,1,3,4,4
88B8-EB84,PR1069,4,4,2,1,0,4,3,2
8822-B9C5,PR107,5,4,5,2,0,4,3,3
E8F5-C47D,PR1070,5,5,2,2,1,4,5,5
D696-9D82,PR1071,4,5,2,1,2,4,3,2
BE93-0736,PR1072,4,2,2,2,0,4,5,4
0322-D46B,PR1073,5,5,4,2,2,5,5,4
1E61-70EC,PR1074,3,5,3,1,0,4,3,2
5222-EBE1,PR1075,4,2,2,1,0,4,5,4
DEBE-1622,PR1076,5,3,3,1,0,3,4,3
A366-C17A,PR1077,5,5,2,1,1,3,5,4
2962-039F,PR1078,3,2,4,3,2,5,3,3
21CB-EF3E,PR1079,3,2,3,2,1,3,5,4
9727-BC84,PR108,5,2,5,3,1,5,5,5
68FB-06A7,PR1080,5,2,5,3,1,3,3,2
74F2-5C55,PR1081,3,5,4,1,3,5,5,4
085C-7FC2,PR1082,5,5,3,1,2,3,4,4
AB5F-244C,PR1083,4,4,4,1,0,5,5,4
55D6-1423,PR1084,5,5,4,2,0,4,3,2
58C8-63FA,PR1085,5,2,3,3,0,2,3,2
87D2-8B67,PR1086,4,3,5,3,2,4,3,3
9FE1-0345,PR1087,3,2,3,3,0,3,3,3
EBBD-37D4,PR1088,4,5,2,2,2,5,4,3
9F65-F612,PR1089,4,5,2,3,0,3,4,3
152E-8DB1,PR109,3,4,4,3,1,2,4,4
3994-472A,PR1090,1,4,3,3,1,1,3,2
02DA-7A72,PR1091,3,4,4,1,2,1,5,5
E1B4-9AA1,PR1092,2,1,1,3,0,3,3,3
8567-5B27,PR1093,1,4,2,1,2,3,3,2
5237-1B85,PR1094,4,2,2,2,2,1,3,3
F93D-CB5A,PR1095,4,2,4,1,1,2,4,4
B785-D8F8,PR1096,1,4,2,1,1,4,5,5
A9EB-9E41,PR1097,3,4,4,2,0,3,5,5
C25C-C434,PR1098,1,1,1,1,3,3,4,4
F265-79B0,PR1099,2,4,1,1,2,2,4,4
9E7A-1F70,PR11,5,5,2,2,0,2,5,5
D199-1896,PR110,4,3,4,3,1,4,4,4
9AAD-D3C1,PR1100,3,4,3,2,1,3,4,3
9D7B-9B37,PR1101,3,2,2,2,2,4,5,4
E9B9-3944,PR1102,3,3,2,2,2,5,5,4
4CCA-B1E6,PR1103,3,4,2,1,0,5,3,2
A4A4-F49C,PR1104,3,2,4,1,0,5,3,3
FE2B-3DC7,PR1105,5,5,5,1,0,4,5,4
C6D7-A568,PR1106,3,2,5,2,0,4,3,2
3560-C117,PR1107,4,3,2,1,0,5,3,2
9169-FC4B,PR1108,5,3,5,2,2,5,5,5
49B2-0364,PR1109,4,3,5,1,0,2,5,4
4404-DE5A,PR111,3,4,5,3,0,4,3,3
F9B6-C80B,PR1110,5,4,5,3,0,3,4,4
B1EC-849B,PR1111,5,3,3,1,2,3,4,4
7B98-EA6F,PR1112,4,3,2,3,2,5,3,2
C385-CDBE,PR1113,4,2,2,2,0,2,5,5
64D6-0D5F,PR1114,3,3,5,3,0,5,3,3
9085-1FE8,PR1115,3,2,5,3,1,4,4,4
9728-1A5B,PR1116,4,3,5,3,1,2,5,5
3EB2-9111,PR1117,3,2,2,2,1,4,4,4
C330-DAF4,PR1118,4,3,3,3,1,3,5,5
041A-31B0,PR1119,5,4,3,3,3,4,5,5
8EE9-E86D,PR112,5,2,4,3,0,5,5,4
692B-7152,PR1120,3,4,4,1,1,4,4,3
022A-0219,PR1121,3,3,2,1,2,4,4,3
2F85-AF81,PR1122,4,4,3,1,0,3,5,5
DFE3-6FA7,PR1123,3,3,5,3,2,5,5,4
5B08-EF96,PR1124,5,4,4,2,2,5,3,2
52DD-757F,PR1125,4,3,2,1,2,3,4,4
E7D3-03C9,PR1126,4,5,2,1,0,3,5,4
7C80-94E0,PR1127,5,4,2,1,1,5,4,3
EE04-1533,PR1128,5,2,2,2,1,3,4,3
67ED-A630,PR1129,4,3,3,1,2,2,4,3
D351-C7E4,PR113,3,3,2,1,2,2,3,2
86E2-73D1,PR1130,4,3,3,2,1,5,4,3
8583-9174,PR1131,3,5,2,1,0,4,5,4
6176-3BEE,PR1132,3,3,5,3,0,2,3,3
AF58-5D1B,PR1133,5,4,3,2,0,3,5,5
16FB-8835,PR1134,4,2,2,2,1,2,3,3
A71E-A9DC,PR1135,3,4,5,2,0,4,4,3
CC2F-670E,PR1136,3,2,5,1,2,5,4,4
67D7-9785,PR1137,5,3,3,3,1,3,5,5
F662-DEA5,PR1138,5,5,2,1,0,3,4,4
59DB-8465,PR1139,3,2,3,1,0,4,5,4
96F4-896C,PR114,4,5,3,1,0,3,3,2
8026-658D,PR1140,5,2,2,3,0,2,4,3
F997-FE6C,PR1141,3,2,4,1,1,2,5,5
0C23-26DD,PR1142,3,3,4,2,1,3,4,4
7B9D-8612,PR1143,5,2,5,2,3,5,4,3
B3FE-D332,PR1144,4,5,3,1,1,5,4,4
1054-9C3B,PR1145,3,2,5,2,0,3,5,5
1217-CE30,PR1146,3,4,2,3,2,5,4,3
4500-37EB,PR1147,3,3,3,3,3,2,4,4
AB03-8820,PR1148,5,2,4,1,2,4,5,4
DF11-9C46,PR1149,3,2,3,1,1,4,3,3
9937-CDF7,PR115,5,2,5,2,1,4,4,4
2BEA-43B2,PR1150,3,3,4,2,0,4,4,4
0DBC-596E,PR1151,5,5,4,1,0,5,5,4
B09D-DFEC,PR1152,4,3,2,1,1,3,3,3
8ED3-4377,PR1153,4,5,3,3,2,4,3,2
C525-8BB9,PR1154,3,3,3,1,1,4,3,3
1F0F-458C,PR1155,5,5,4,2,1,5,3,2
9D3C-DA45,PR1156,4,5,2,2,0,5,5,4
D13E-E661,PR1157,5,2,3,2,2,5,5,5
618D-7685,PR1158,5,5,2,3,3,4,5,5
9825-45EF,PR1159,3,5,5,3,0,4,5,5
1609-65E1,PR116,3,3,5,1,2,4,5,4
6965-C170,PR1160,5,5,4,1,0,3,4,3
F523-1135,PR1161,3,5,3,1,1,4,5,4
465A-91D1,PR1162,4,4,3,1,2,5,3,3
2B7A-9C73,PR1163,3,2,3,2,1,2,3,2
A2B5-823F,PR1164,4,5,4,1,2,3,4,3
F838-C681,PR1165,4,5,4,2,2,5,4,3
7F91-C628,PR1166,4,4,5,3,0,5,3,3
565B-C207,PR1167,3,2,4,1,0,3,3,3
4DA0-81D7,PR1168,4,3,5,1,2,4,5,4
5818-560C,PR1169,4,4,3,1,2,5,4,4
1363-6BF9,PR117,4,5,3,1,0,5,5,4
05B0-755F,PR1170,5,3,3,3,1,4,4,4
4C62-5BE8,PR1171,4,4,3,1,1,5,3,2
2523-EFD4,PR1172,4,2,5,3,0,4,3,3
21B3-8491,PR1173,3,3,4,1,0,5,5,4
F3CD-9B5B,PR1174,3,2,3,3,1,2,4,3
DCFE-F601,PR1175,3,4,3,1,2,4,4,4
DD78-E811,PR1176,5,5,5,2,1,2,3,3
45D2-369E,PR1177,4,5,5,2,0,3,4,4
0D8F-C0F3,PR1178,5,5,4,3,0,3,5,5
6FE1-C8A8,PR1179,4,4,3,1,1,4,3,3
AB81-A3A0,PR118,3,2,2,1,1,5,4,3
6E7B-D50D,PR1180,5,4,2,3,1,4,5,4
307F-9BFA,PR1181,3,4,2,1,1,5,4,4
7F1C-20B8,PR1182,4,4,3,3,0,4,5,5
606E-A262,PR1183,3,4,5,3,0,5,3,3
F890-975A,PR1184,4,3,5,1,0,2,5,5
9C57-828C,PR1185,4,2,4,3,0,4,3,3
8CF6-3079,PR1186,3,2,2,3,2,5,5,4
5021-95FC,PR1187,5,3,5,3,1,3,4,4
CD0F-DE05,PR1188,4,3,3,2,2,2,3,3
F430-0404,PR1189,3,2,2,1,2,4,3,3
1F12-DDDA,PR119,5,2,2,1,0,4,3,2
BFE7-5EA8,PR1190,5,3,2,3,1,5,3,2
549F-B3E7,PR1191,3,2,5,3,1,4,5,4
B303-8962,PR1192,3,2,3,3,1,3,3,2
B48C-47D0,PR1193,5,5,3,3,0,3,3,2
CD4D-7BBA,PR1194,3,5,3,3,1,4,4,4
7349-CCE0,PR1195,4,3,5,1,1,3,4,4
4316-C080,PR1196,5,2,3,2,0,2,5,5
279C-7342,PR1197,5,4,4,3,1,5,4,3
819A-2C9C,PR1198,3,3,4,1,1,2,3,3
9811-F345,PR1199,3,3,3,2,1,3,5,4
A954-6310,PR12,5,2,3,2,0,3,3,2
8ACE-C5CE,PR120,3,4,2,3,1,2,3,2
8365-EB74,PR1200,5,3,4,2,0,2,3,3
2A04-49D1,PR1201,5,2,2,2,2,5,5,4
52CC-3E9E,PR1202,5,4,3,3,1,3,4,4
5B0E-31FB,PR1203,3,4,3,1,1,5,5,4
ED49-73D3,PR1204,3,2,4,1,0,3,4,3
B013-7D0C,PR1205,4,5,2,1,0,3,5,4
134B-4157,PR1206,5,4,4,2,1,5,4,4
AB4A-E71A,PR1207,3,4,2,2,0,5,5,5
03EF-5904,PR1208,5,3,2,1,1,4,5,4
0C7B-2EA6,PR1209,3,2,4,2,1,3,3,2
1D35-190A,PR121,3,5,5,2,0,2,5,5
0868-097F,PR1210,4,4,2,3,3,3,5,5
4B6E-3C21,PR1211,3,2,2,1,0,3,3,3
46ED-4007,PR1212,3,4,4,2,3,5,5,4
2E9A-BD2E,PR1213,3,3,2,2,0,5,4,4
CEE0-94C3,PR1214,3,2,5,1,1,5,4,4
A690-3D5D,PR1215,4,5,5,3,2,4,5,5
7335-4656,PR1216,5,2,3,1,1,5,4,4
327B-F6D3,PR1217,5,5,4,1,1,5,4,3
AA87-13D8,PR1218,4,3,3,3,0,4,3,3
56A5-271B,PR1219,4,4,3,3,3,5,3,3
528C-3E0D,PR122,4,5,4,1,3,2,5,4
7A8C-2DD3,PR1220,3,2,5,2,1,4,5,4
4886-62DF,PR1221,4,2,3,2,1,5,3,3
64BA-99F0,PR1222,3,4,4,1,1,3,4,4
7EE7-2C43,PR1223,3,4,5,1,1,3,5,5
B990-35DA,PR1224,5,4,4,1,1,4,3,2
6CAD-47F0,PR1225,4,3,5,3,0,4,5,4
C730-6B13,PR1226,5,4,5,2,3,2,3,2
38EB-ADBD,PR1227,3,5,2,2,1,2,4,3
774E-685D,PR1228,5,5,2,1,0,2,3,3
CF8D-7379,PR1229,3,2,5,1,2,3,5,5
D836-B375,PR123,5,4,4,3,0,4,5,5
60B5-48ED,PR1230,3,3,2,3,1,5,3,3
211E-BC82,PR1231,5,2,4,3,1,5,5,5
C54B-DBC5,PR1232,5,2,5,2,0,5,4,4
6F3E-2A75,PR1233,4,3,4,1,0,5,5,4
C1C6-F683,PR1234,3,5,4,2,0,3,3,2
8663-3E02,PR1235,5,3,5,2,1,4,3,2
FBC2-C5FA,PR1236,4,5,4,3,0,3,4,4
B52E-BF41,PR1237,5,5,4,3,1,3,4,3
D6A7-EF72,PR1238,5,5,4,1,1,2,4,4
12F7-BCBB,PR1239,3,2,2,1,0,2,4,4
1359-BEE3,PR124,4,5,4,3,0,4,5,4
1C24-233B,PR1240,4,3,3,2,0,3,3,3
DE6C-86FC,PR1241,4,2,4,3,3,5,5,4
637B-DBAD,PR1242,4,4,2,3,3,4,3,2
79F7-78EC,PR1243,4,5,5,1,0,4,4,4
E324-1C33,PR1244,3,5,5,3,1,4,3,3
81BE-17CD,PR1245,3,5,4,3,0,3,4,3
2C7D-F9F1,PR1246,3,5,3,2,3,5,4,4
0F83-39C1,PR1247,3,2,3,3,1,2,4,3
A91B-7DC5,PR1248,3,5,3,2,2,2,3,3
825E-0B3A,PR1249,4,2,5,3,0,3,5,5
D2BE-E6F6,PR125,5,4,5,1,0,4,4,4
C025-B8B6,PR1250,5,5,3,3,1,4,5,4
F4D2-F6F2,PR1251,4,4,5,2,1,3,4,3
F72D-261D,PR1252,5,2,2,1,3,3,5,5
A807-DE5D,PR1253,5,5,4,1,0,2,5,4
CBB3-0D7E,PR1254,3,5,5,1,3,2,5,4
2551-DD9B,PR1255,5,5,2,2,3,2,3,2
D39D-4015,PR1256,4,5,5,2,0,2,3,3
0697-ADC3,PR1257,3,3,5,3,3,3,3,2
6112-8476,PR1258,5,2,5,1,1,2,3,3
7378-5351,PR1259,5,4,2,3,0,3,5,4
D69C-8F84,PR126,5,4,3,3,0,4,3,3
CACA-0D62,PR1260,4,4,4,2,0,5,3,3
F93E-BDEF,PR1261,5,2,5,2,1,4,5,4
0145-DBFC,PR1262,4,5,2,2,1,4,5,4
CD59-7F94,PR1263,4,5,4,2,1,4,3,3
7B47-C915,PR1264,4,2,4,1,0,4,3,2
15B3-F392,PR1265,4,5,3,2,0,2,4,4
9D01-8A02,PR1266,3,4,4,2,1,3,5,5
2F98-E645,PR1267,4,4,4,2,1,5,4,4
A31A-A90C,PR1268,5,4,5,2,2,3,5,5
80BE-E2B5,PR1269,4,3,5,2,2,4,4,3
F98B-61B3,PR127,5,2,5,2,2,5,3,3
6A0D-9C4D,PR1270,3,5,3,3,1,5,4,3
4D7E-BDA4,PR1271,4,5,2,1,3,3,3,3
6E64-8D30,PR1272,4,4,4,2,1,4,5,4
B341-8D6A,PR1273,3,2,2,1,2,2,5,5
1180-BEC9,PR1274,3,4,2,2,2,2,3,3
5293-AC5C,PR1275,3,5,3,2,2,5,4,3
D49C-096C,PR1276,5,5,3,1,1,4,5,5
4565-62DE,PR1277,5,4,3,3,1,4,3,3
CCAB-4B80,PR1278,4,5,4,2,2,4,3,3
58FA-C451,PR1279,5,2,5,2,2,3,5,4
D921-AC35,PR128,3,3,2,1,1,2,4,3
B4E1-4A3E,PR1280,4,4,5,2,1,2,5,4
541F-3E19,PR1281,3,3,2,1,1,3,3,2
6FE3-2270,PR1282,5,3,4,1,0,2,4,3
29F6-C6CA,PR1283,3,2,5,3,0,3,5,5
9900-1159,PR1284,4,4,2,1,2,3,5,5
D926-DED9,PR1285,5,2,2,3,1,5,3,2
4A39-E8E6,PR1286,5,4,3,2,2,5,3,2
B0C3-E578,PR1287,3,5,2,1,1,5,3,2
F9E1-87E9,PR1288,3,2,2,3,3,2,3,2
AF77-0F6B,PR1289,5,5,4,1,0,2,4,4
C6A8-4E8A,PR129,3,4,2,2,1,3,3,2
2250-86C5,PR1290,4,4,2,3,0,3,5,4
9DB1-8C59,PR1291,3,5,5,1,0,4,4,3
45D7-5C8A,PR1292,3,5,3,2,2,3,4,4
DF71-97FB,PR1293,3,4,4,1,2,2,5,4
C5C2-985F,PR1294,3,4,2,1,0,3,3,3
10E9-4C86,PR1295,3,3,2,3,0,4,3,3
4F64-A0E2,PR1296,3,3,3,2,1,3,4,4
5544-4583,PR1297,4,5,5,2,1,4,4,4
D970-9F5E,PR1298,3,5,4,3,1,5,4,3
DF5F-5ED9,PR1299,3,3,2,2,2,4,4,4
2407-5A4E,PR13,5,3,5,3,2,4,4,3
B340-5AD2,PR130,3,5,2,3,2,4,3,2
D106-E487,PR1300,3,3,3,1,2,5,4,4
19C3-DAE4,PR1301,4,3,3,3,1,3,5,5
9CE9-B0D5,PR1302,4,4,3,3,0,3,3,2
CA75-94D1,PR1303,5,2,4,2,2,2,5,4
5416-F925,PR1304,5,2,4,3,0,5,3,3
2D85-ABDD,PR1305,4,2,2,2,1,3,5,5
8FD9-AA59,PR1306,5,3,3,1,1,4,3,2
D871-1F74,PR1307,5,2,4,1,1,4,4,3
7816-BF57,PR1308,5,3,4,2,2,2,5,5
CED0-8D31,PR1309,4,3,2,2,0,3,3,3
CC7A-EE97,PR131,5,3,2,2,2,2,3,3
B2D6-A355,PR1310,3,5,4,1,2,3,3,2
CC8A-0B1F,PR1311,3,3,3,2,0,2,4,3
30CB-BCD0,PR1312,4,2,2,1,3,2,3,2
3642-EEAE,PR1313,4,3,2,2,1,4,3,3
205B-4D34,PR1314,4,5,3,3,2,2,4,4
8BCA-723F,PR1315,4,4,5,3,2,3,4,3
ED5D-E9D8,PR1316,4,3,3,2,0,4,5,4
5988-3855,PR1317,4,3,3,2,2,5,3,3
5A65-768A,PR1318,4,2,5,3,0,2,3,3
95D8-5DC7,PR1319,5,4,3,3,1,4,5,4
B97B-73D7,PR132,4,2,3,3,1,5,4,3
C22D-CE5F,PR1320,3,3,2,1,0,2,5,5
9C24-CD7A,PR1321,5,4,4,2,0,2,5,5
9658-7750,PR1322,3,4,3,2,0,2,3,2
D7F8-1775,PR1323,4,5,2,2,3,4,3,2
A696-1216,PR1324,5,3,5,2,1,3,5,4
5C7B-86C0,PR1325,4,4,2,3,1,5,4,4
7DD6-128C,PR1326,3,4,5,3,0,3,4,4
8D34-EBDF,PR1327,4,4,3,2,1,2,5,4
17AD-99F5,PR1328,4,5,5,3,0,3,4,4
F60C-4888,PR1329,3,4,3,3,1,2,4,4
B5C6-F8D5,PR133,3,4,5,1,0,3,4,3
B6EC-313E,PR1330,4,4,4,2,0,3,3,2
2A20-28CD,PR1331,4,5,3,1,0,5,4,4
5A04-0EB4,PR1332,3,3,3,2,2,2,4,3
EEFC-DEC7,PR1333,5,3,4,2,2,3,4,4
5160-53BD,PR1334,3,2,2,1,2,3,5,5
6C86-3DC0,PR1335,4,4,3,1,0,3,5,4
0240-4D29,PR1336,5,5,3,1,0,3,3,3
15D4-53C2,PR1337,4,4,3,1,0,5,5,4
17AE-E715,PR1338,4,4,2,1,0,5,5,5
3B90-B998,PR1339,3,3,4,1,0,2,5,5
DCD4-C785,PR134,5,4,2,1,0,4,5,4
6661-FA04,PR1340,4,2,3,2,0,4,5,5
B975-943A,PR1341,3,5,4,3,1,3,4,3
C95C-CE06,PR1342,4,4,5,2,0,2,4,4
7589-66E3,PR1343,4,5,3,2,3,3,4,4
2ED2-2CEC,PR1344,5,3,5,3,1,5,4,3
B61E-0F26,PR1345,5,3,5,3,1,4,5,4
DEB9-1BBF,PR1346,4,2,5,3,3,4,4,3
B312-7192,PR1347,3,2,5,1,1,5,5,4
5C48-9106,PR1348,4,2,3,2,1,2,5,5
DF63-0D3C,PR1349,4,5,3,2,0,5,4,3
F9C6-39E2,PR135,4,3,3,1,1,2,3,3
D4D5-27FB,PR1350,4,5,4,2,1,2,3,2
76ED-1CF5,PR1351,4,5,3,3,1,5,5,4
380F-A08A,PR1352,4,3,4,2,2,3,3,3
5E9A-FE30,PR1353,5,3,3,2,0,4,4,3
FBED-F86B,PR1354,5,3,4,3,2,2,5,4
B063-A2B5,PR1355,4,2,2,2,2,5,5,4
D676-4ECC,PR1356,5,4,5,1,0,3,4,3
D4D7-3C3F,PR1357,5,4,3,1,1,2,3,2
DF7E-3233,PR1358,3,3,3,3,1,2,5,5
13E5-8466,PR1359,5,4,2,2,0,3,3,2
41DC-E8B5,PR136,3,4,5,2,0,3,3,3
A7BB-F5A7,PR1360,3,2,4,2,0,3,4,3
1B7F-73A9,PR1361,4,4,5,3,1,5,4,4
13FA-3559,PR1362,3,4,4,3,2,3,3,2
A2D0-E2D2,PR1363,5,2,4,1,0,2,4,3
58F5-C8FC,PR1364,5,2,3,3,1,3,5,5
9A87-71F6,PR1365,4,3,3,1,1,2,5,4
FAC0-942B,PR1366,4,2,5,2,1,2,3,3
E899-A860,PR1367,4,5,2,1,1,2,4,4
BAF9-933D,PR1368,4,3,2,2,1,4,3,3
C900-9EF9,PR1369,4,2,4,1,3,5,3,2
1472-9F69,PR137,5,2,4,2,1,5,4,3
1C6C-3B67,PR1370,4,5,3,3,0,3,5,4
2698-A448,PR1371,2,4,2,1,3,3,5,4
9BD6-2C43,PR1372,4,1,2,1,0,3,4,4
39FC-7149,PR1373,3,2,2,3,1,1,3,2
F5E3-48BB,PR1374,2,1,1,3,3,4,3,3
0A05-3943,PR1375,4,4,3,2,3,4,5,5
3120-B11F,PR1376,1,3,2,2,1,1,3,2
2FC8-999D,PR1377,2,3,1,3,1,4,5,4
7BD4-7BFB,PR1378,1,1,4,1,2,4,5,4
6227-9D9E,PR1379,2,2,3,1,2,1,5,4
4E65-CCD0,PR138,3,3,2,3,2,3,4,3
EB4F-4D97,PR1380,5,2,5,3,0,3,3,2
296A-A685,PR1381,4,3,4,2,0,4,3,2
2E7B-43F0,PR1382,3,2,3,3,2,2,3,3
E099-3FCC,PR1383,3,4,5,3,1,5,3,3
D86B-2E5E,PR1384,3,5,5,1,2,2,5,5
267F-F71D,PR1385,4,5,4,1,0,5,3,3
155B-42BE,PR1386,5,4,5,2,0,4,3,2
E62F-4FF7,PR1387,5,4,4,1,3,4,5,5
93B1-6510,PR1388,3,4,2,2,1,4,5,4
71CC-7412,PR1389,3,5,5,1,2,5,3,2
07F1-62C3,PR139,3,4,4,1,1,5,5,4
E523-D168,PR1390,4,5,3,1,1,3,4,3
5A0B-7F31,PR1391,3,2,5,3,1,5,5,5
8F78-4A32,PR1392,3,2,2,1,0,5,3,2
8EA4-9179,PR1393,4,2,5,2,1,4,4,3
6F50-08B6,PR1394,3,3,5,2,3,5,4,3
0CF8-1EBD,PR1395,3,4,3,1,0,5,4,4
8E5B-CBBF,PR1396,4,4,4,2,2,4,5,5
8DA7-0090,PR1397,4,2,4,2,2,5,4,4
9BC9-1288,PR1398,3,5,3,3,0,2,4,3
6A8B-EC82,PR1399,5,2,4,2,2,3,3,2
F968-671C,PR14,5,2,2,2,1,5,5,5
31FB-D496,PR140,5,4,5,2,1,3,5,4
FEEC-A663,PR1400,3,4,4,3,0,3,4,3
9412-7AA6,PR1401,4,4,5,2,0,2,4,3
920B-7B40,PR1402,5,2,5,2,0,3,3,2
2374-7581,PR1403,5,4,3,2,1,4,5,4
D245-5D80,PR1404,5,3,4,1,1,4,5,4
41EC-F2AA,PR1405,4,3,3,1,0,5,5,4
1C57-5F2A,PR1406,5,2,3,2,0,3,4,3
0678-748A,PR1407,5,3,3,3,0,3,4,4
A896-CDE2,PR1408,5,3,5,1,1,3,5,4
ACF7-5B99,PR1409,3,3,4,3,1,3,3,2
5741-0022,PR141,5,5,3,2,1,3,4,3
AA67-CB22,PR1410,4,2,5,2,1,3,3,3
D825-CC31,PR1411,5,4,2,2,0,2,4,3
59F5-F57D,PR1412,5,5,2,1,1,5,5,4
E430-E462,PR1413,3,5,3,1,0,4,5,5
9F02-0D39,PR1414,3,2,3,3,0,5,3,2
74F3-DF3D,PR1415,5,2,5,2,3,5,3,2
5F2E-A68B,PR1416,4,2,4,3,1,3,5,4
65A0-5D04,PR1417,4,3,5,2,0,3,4,3
79C5-FE9D,PR1418,5,4,2,2,2,3,3,2
B49A-7D79,PR1419,4,5,2,3,0,5,5,5
E503-C500,PR142,4,3,2,3,1,2,5,4
